keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:06:29,@Thabiso143 @MalumeAza Have you been to a doctor?,sbuddah25,,246
Doctor,2021-07-23 13:06:29,"RT @jasonrantz: Rep. Ronny Jackson (R-TX), a former White House doctor for Trump and Obama, says he thinks that Biden is going to be forced…",mpls55418,,246
Doctor,2021-07-23 13:06:28,RT @BILD: Skandal-Workshop - Weiße sollen sich für ihre Hautfarbe schämen https://t.co/ztQYMANbZb,Doctor_42,,246
Doctor,2021-07-23 13:06:26,"RT @PamLongCO: “My doctor would NEVER recommend a drug that caused heart attacks,” thought every fatality of Merck’s Vioxx.",thefreakwentc,,246
Doctor,2021-07-23 13:06:25,"RT @happyguppyaki: 大韓民国とタジキスタンの間にChinese Taipeiを持ってきた運営に大きな拍手を送りたい。公式には言えないことをしっかりと揶揄している。

彼らにはその意味がしっかりと伝わってるよ。",a_quack_doctor,,246
Doctor,2021-07-23 13:06:25,"@dafgncswhbdaa @markschlereth You must have missed the ""asthma"" part. Her pulmonologist says otherwise. I guess I s… https://t.co/bjxeIYCmlW",VTMikeO,,246
Doctor,2021-07-23 13:06:24,"RT @WritesBright: ""If it’s coming from a spin doctor at No 10 then I don’t think we’d call that impartiality"". 

Top quality from Emily Mai…",igbarnes,,246
Doctor,2021-07-23 13:06:23,"RT @superboycheque: Doctor says BABY OUT NOW!!! 🤎🏹🚨
https://t.co/pOp8FooxAs

(Mother and baby doing fine 🤪) https://t.co/ReakxrGfeN",greekia1,,246
Doctor,2021-07-23 13:06:23,"RT @shamsul__kamal: There's a Malaysian Doctor here in Australia who is a renowned specialist

Upon graduating in AU years ago he returned…",EzzhamAizzil,,246
Doctor,2021-07-23 13:06:23,RT @JackPosobiec: EXCLUSIVE: FBI chief who ignored abuse claims against Larry Nassar for over a YEAR is seen enjoying retirement after scat…,RightShot328,,246
Doctor,2021-07-23 13:06:23,RT @JohninBucuresti: @doctor_oxford https://t.co/Ft7RPAgXPj,alangriffith8,,246
Doctor,2021-07-23 13:06:22,"RT @TonyHWindsor: The day after @DaveGillespieMP a Federal Minister and medical doctor said to “let the virus rip,irrespective of whether t…",platykitten,,246
Doctor,2021-07-23 13:06:22,"Last night Sean Hannity repeatedly said of vaccinations, ""Talk to your doctor. This is a decision you should make a… https://t.co/reJ4kDdLQF",brad_dickson,,246
Doctor,2021-07-23 13:06:21,"RT @ArknightsEN: Dear Doctor, here is the teaser of Never Give Up [Arknights Soundtrack] - @SteLouse, video directed by @juleplin. Thanks t…",LordSodaCan,,246
Doctor,2021-07-23 13:06:21,RT @Bob4Florida: @RexChapman The Department of Defense absolutely needs to outlaw Fox News from being played in all common areas of militar…,Renee77641834,,246
Doctor,2021-07-23 13:06:21,"RT @gudiel: Excellent explanation by an Emergency Room Doctor about COVID infections, vaccines, &amp; Delta variant.",AndersonMSSE,,246
Doctor,2021-07-23 13:06:21,RT @twlvclara: it’s so weird that with other shows i have no idea what any of the episodes are called but with doctor who i know every sing…,gilesriver,,246
Doctor,2021-07-23 13:06:21,@Awesome_culate @Offishial_Sammy @aproko_doctor Thank you o,__Chidinma,,246
Doctor,2021-07-23 13:06:20,RT @Dineshk27504774: @PMOIndia @narendramodi इसमे देर मत करिये सर FMG DOCTOR को ALLOW करिये @mansukhmandviya जी और ट्रेनिंग मे भेजिये 35000…,Kishore71726598,,246
Doctor,2021-07-23 13:06:20,"RT @HyunHoon7: Semalam aku pergi vaksin kat stadium bukit jalil and you know what? Doctor yang cucuk aku tu, muka dia 7/10 muka dia macam L…",heyitslwt,,246
Doctor,2021-07-23 13:06:19,RT @kazari_project: まさか、日本の最終入場者がこれ持って入ってこないよね？(/・ω・)/ https://t.co/kzu8Fqrbo1,doctor_ye11ow,,246
Doctor,2021-07-23 13:06:19,RT @f0uree: Please I'm begging please like my doctor just ditched me like I have no more hormones. I'm going to be living in my car like I'…,WafAAAAHHH,,246
Doctor,2021-07-23 13:06:18,@doctor_panter @rmzzani دلمو شکوندی https://t.co/5VfU64PuZ0,mubina80,,246
Doctor,2021-07-23 13:06:18,@chiisaimomochan これは涙不可避でした(´；ω；｀)笑,haiji_doctor,,246
Doctor,2021-07-23 13:06:17,RT @JackPosobiec: EXCLUSIVE: FBI chief who ignored abuse claims against Larry Nassar for over a YEAR is seen enjoying retirement after scat…,GideonHenry,,246
Doctor,2021-07-23 13:06:17,RT @chelitabombom: Ingeniero @MOISESURBINA quisiera que le preguntará al doctor: Si alguien comienza un proceso sospechoso de Covid ¿Cuánto…,yopasandoibaok,,246
Doctor,2021-07-23 13:06:16,"RT @talitawissett: To you, damn sh** doctor #ณวัฒน์อิสรไกรศีล https://t.co/5gjuurUNNE",2709injyu,ณวัฒน์อิสรไกรศีล,1
Doctor,2021-07-23 13:06:16,@Getrealorelse @SquawkCNBC @ScottGottliebMD When the model evolves and you have to decipher the extent of evolution… https://t.co/CBPy7QX1uB,CurbSideEx,,246
Doctor,2021-07-23 13:06:16,@3Enriquearnau @MariolySosaP @SaludPublicaRD Lo raro de todos esto es que los defensores del doctor y su teoría en… https://t.co/bITmmYZvsJ,argool,,246
Doctor,2021-07-23 13:06:15,"@KamFoengAnn @KopralCebong @Pand4va Saya d BNE. Ooh Orto kereen 👍👍🙏
Gak tahu soal spec med doctor. Hsptl Mngmnt bgs… https://t.co/mYPra8yf2K",KKampul,,246
Doctor,2021-07-23 13:06:15,"@SarenMum @nytimes Imagine an island where life is safe but boring. Other island has awesome interesting life, but… https://t.co/rtB7yl1XkS",derlyatko,,246
Doctor,2021-07-23 13:06:14,@jademloren I have a Doctor Mom Otoscope that I use to check ears and scoop out wax. You’d need a buddy you can tru… https://t.co/Y14g6MKZmj,larathelark,,246
Doctor,2021-07-23 13:06:13,"Today's work entertainment is ""The Odd Couple"" (1968)

Ok, I get that they maybe didn't have air conditioning, but… https://t.co/HVXA0c75G3",doctor_emmit,,246
Doctor,2021-07-23 13:06:13,"RT @GrandpaSnarky: An Alabama doctor pleaded for people to get vaccinated against COVID-19 as she shared grim accounts of young, healthy an…",_xsquare,,246
Doctor,2021-07-23 13:06:12,Il se prénomme Marc et est doctor  @LesSims  #TheSims4 @TheSims https://t.co/5puXfC5HPQ,mounemich,TheSims4,1
Doctor,2021-07-23 13:06:12,"RT @pritisethi11: @MamtaSh40357558 @karanvirsharma9 doctor se jayada mujhe tumhari zaroorat hi anokhi,MUJHE tumse milna tha
KV SUPREMACY AS…",PriyaSa17796491,,246
